TxnID,token,TransactionType,amount,SenderID,PrevBalanceSender,CurrentBalanceSender,ReceiverID,PrevBalanceReceiver,CurrentBalanceReceiver,time,Sender Location,Receiver Location,IsSuspicious,
65269233710,316,Cash Withdrawal,72665.95,UR39960056005,72665.95,0,UR28230225043,31012.3,103678.25,30-05-2019 04:13,Danville - Pennsylvania,Lumberton - Mississippi,1,13
25509693070,395,Card,3350.68,UR13029997860,147550,144199.32,UR19720112086,0,0,02-06-2019 11:10,Olivia - Minnesota,Lorado - West Virginia,0,83
53443439130,234,Cash Withdrawal,166411.74,UR31064565626,0,0,UR25068537296,639564.47,805976.22,26-05-2019 18:05,Carlsbad - California,NA,0,40
48436093160,15,Cash Withdrawal,35642.46,UR29376431017,685118,649475.54,UR34798247559,860344.56,695609.47,17-05-2019 15:21,Oswego - New York,Mc Caysville - Georgia,0,58
66380834305,202,Cash Deposit,93673.64,UR40893202835,1666091.16,1759764.81,UR12348474107,143395.18,49721.53,25-05-2019 10:50,Kendall - New York,Chicago Heights - Illinois,0,75
13711692258,44,Cash Withdrawal,3637.04,UR22682036788,0,0,UR17644419809,20963.44,24600.49,18-05-2019 20:54,Orosi - California,Somerville - Massachusetts,0,4
41846570577,11,Cash Deposit,2489.05,UR23296686777,1061986.65,1064475.69,UR15482544875,25263.15,22774.11,17-05-2019 11:37,Orr - Minnesota,Bremond - Texas,0,96
19789059173,229,Cash Deposit,100843.89,UR38184567645,3403308.48,3504152.37,UR17827015869,3932755.89,3831912,26-05-2019 13:27,Escondido - California,Summerfield - Kansas,0,12
39137849587,230,Cash Deposit,407814.08,UR26657102674,21178,428992.08,UR15271679984,407641.02,0,26-05-2019 14:43,Markle - Indiana,Joliet - Illinois,0,83
60187793436,375,Card,10910.32,UR35249551394,0,0,UR22104278343,0,0,01-06-2019 15:09,East Tallassee - Alabama,Le Roy - Illinois,0,17
28136974256,19,Cash Withdrawal,16648.77,UR17639379817,0,0,UR33663928229,419493.08,659007.06,17-05-2019 19:18,Fairbury - Nebraska,Pensacola - Florida,0,28
3722193813,129,Card,7452.7,UR27520145151,75135.39,67682.69,UR28645177560,0,0,22-05-2019 09:03,Somerville - New Jersey,Perks - Illinois,0,40
14816881034,625,Money Order,2480321.85,UR33442647604,2480321.85,0,UR31571734314,0,0,12-06-2019 01:19,Danville - Pennsylvania,NA,1,75
54818621160,40,Cash Withdrawal,226919.98,UR37200463291,48759,0,UR14504829053,0,226919.98,18-05-2019 16:16,Pocatello - Idaho,Sutton - West Virginia,0,13
35085760942,130,Cash Deposit,357820.47,UR26132723246,190785.98,548606.44,UR13575489808,2386194.93,2028374.47,22-05-2019 10:37,New Haven - Connecticut,Fernwood - Idaho,0,87
45369057804,95,Cash Withdrawal,56745.14,UR37136732025,56745.14,0,UR34712591285,51433.88,108179.02,20-05-2019 23:36,Danville - Pennsylvania,Lumberton - Mississippi,1,49
65758713194,12,Cash Deposit,15685.39,UR31866235544,8926161.32,8941846.71,UR41560483609,624451.4,636343.49,17-05-2019 12:34,Arecibo - Puerto Rico,NA,0,16
25151785969,228,Cash Withdrawal,11604.8,UR33788997348,0,0,UR25082726546,150583.87,162188.67,26-05-2019 12:07,Shallotte - North Carolina,Melville - Montana,0,94
14791251768,351,Card,11132.53,UR27593975798,208002.82,196870.29,UR19066596104,0,0,31-05-2019 15:23,Hodgenville - Kentucky,Des Moines - Iowa,0,31
14690567341,230,Cash Deposit,115761.24,UR26772149638,2919873.15,3035634.4,UR18922892465,134634.25,18873,26-05-2019 14:39,NA,Braintree - Massachusetts,0,87
13149449044,306,Card,14093.55,UR42307126365,0,0,UR32190231464,0,0,29-05-2019 18:33,Kansas City - Missouri,NA,0,32
42839067307,43,Cash Deposit,149831.15,UR12574048351,830791.75,980622.9,UR23255943789,4347808.28,4197977.13,18-05-2019 19:26,NA,Camden - Texas,0,29
57704256479,540,Card,11270.56,UR18305909520,33627,22356.44,UR14508093740,0,0,08-06-2019 12:42,Victor - Montana,San German - Puerto Rico,0,40
48018031877,138,Cash Deposit,106951.91,UR22314315209,327542.52,434494.43,UR27075515406,NA,1871759.51,22-05-2019 18:10,Tripler Army Medical Center - Hawaii,Louisville - Kentucky,0,36
18603773164,153,Cash Withdrawal,108961.91,UR20385524857,0,0,UR19497453911,4484696.12,4593658.03,23-05-2019 09:10,Windsor - New Jersey,Pompeys Pillar - Montana,0,29
67871700938,238,Card,9758.77,UR33263726670,0,0,UR36977349269,0,0,26-05-2019 22:32,Mc Intosh - Florida,Ogden - Kansas,0,87
29130654401,298,Cash Deposit,89329.37,UR41087004505,1008,90337.37,UR37768150649,1991087.08,2252650.3,29-05-2019 10:12,Burgoon - Ohio,Naguabo - Puerto Rico,0,15
48309599964,301,Cash Withdrawal,180175.86,UR40617223935,51777,0,UR16484299869,400938.38,581114.24,29-05-2019 13:37,Fyffe - Alabama,Hoskinston - Kentucky,0,56
30479766174,13,Card,44639.77,UR27672221476,106293,61653.23,UR21648934452,0,0,17-05-2019 13:46,Reading - Pennsylvania,Dayton - Pennsylvania,0,85
64622589540,211,Cash Withdrawal,250834.29,UR34115442260,0,0,UR14196034733,359577.03,610411.32,25-05-2019 19:54,Watertown - Wisconsin,Bristol - Pennsylvania,0,92
21773767084,276,Cash Withdrawal,458111.37,UR25034513479,304037,0,UR37464098698,923413.89,1381525.26,28-05-2019 12:07,Elmont - New York,Lyons - Nebraska,0,25
68593498970,156,Cash Deposit,390494.18,UR20082871531,6424,396918.18,UR33029986443,334036,0,23-05-2019 12:13,Center Rutland - Vermont,Hardy - Arkansas,0,99
66422717367,401,Cash Withdrawal,25327.82,UR39436626153,22525,0,UR17863009135,NA,193845.09,02-06-2019 17:40,NA,Oakdale - Wisconsin,0,36
16030814188,130,Card,6062.86,UR39170261821,10582,4519.14,UR34724054477,0,0,22-05-2019 10:25,Beallsville - Pennsylvania,Bryant - Arkansas,0,84
5402317919,400,Cash Withdrawal,315883.79,UR23556018289,40378,0,UR34220416650,651009.4,966893.19,02-06-2019 16:22,Advance - North Carolina,Cushing - Texas,0,63
38888438773,203,Cash Withdrawal,10377.85,UR13170692408,0,0,UR21190880308,NA,37845.75,25-05-2019 11:52,Ashley - North Dakota,Brookhaven - Mississippi,0,70
514309227,40,Cash Deposit,213243.21,UR18838333111,10102,223345.21,UR16209951846,0,0,18-05-2019 16:15,Fort Worth - Texas,Piedmont - Ohio,0,63
27018809040,280,Card,7249.57,UR18563658307,275694.2,268444.63,UR22407626354,0,0,28-05-2019 16:28,Portland - Indiana,Indian Trail - North Carolina,0,99
40580928732,522,Cash Withdrawal,121344.32,UR26736985611,0,0,UR20844435614,140494.97,261839.3,07-06-2019 18:58,Vass - North Carolina,Saratoga - Indiana,0,43
47443162812,281,Cash Deposit,28809.78,UR42168754159,21333,50142.78,UR25206978686,NA,3131937.45,28-05-2019 17:31,Sturdivant - Missouri,Rancho Palos Verdes - California,0,95
23360305742,34,Card,10797.56,UR23100150426,79972.94,69175.38,UR15169826703,0,0,18-05-2019 10:20,NA,Crystal Springs - Florida,0,62
20283074997,284,Cash Deposit,58200.27,UR42666353249,3190,61390.27,UR20664534381,876962.92,818762.64,28-05-2019 20:54,Albany - Missouri,Chester - Pennsylvania,0,30
52762333140,208,Card,35533.08,UR20455277077,0,0,UR20688592827,0,0,25-05-2019 16:53,Hillsboro - Ohio,Livonia - Louisiana,0,82
45703138507,299,Card,50635.38,UR12898389974,5007,0,UR20409577142,0,0,29-05-2019 11:25,Sugar Grove - West Virginia,Port Austin - Michigan,0,54
67207085634,331,Card,3113,UR35077685926,81983,78870,UR41746881460,0,0,30-05-2019 19:16,Hestand - Kentucky,Maquoketa - Iowa,0,85
6240139289,284,Cash Withdrawal,193638.71,UR38261869743,103006,0,UR38150537301,111862.05,305500.76,28-05-2019 20:57,Gowen - Oklahoma,Harrisville - Mississippi,0,25
52396698057,667,Card,3934.05,UR20340729787,10963,7028.95,UR41887901674,0,0,13-06-2019 19:28,Caguas - Puerto Rico,Solon Springs - Wisconsin,0,91
69506569698,139,Card,6115.88,UR35336053486,0,0,UR27993667998,0,0,22-05-2019 19:26,Bloomville - Ohio,Mc Crory - Arkansas,0,61
68756924971,185,Cash Deposit,582778.63,UR15250322382,1003493.17,1586271.8,UR29063538716,1621459.38,1193074.62,24-05-2019 17:03,NA,Dorado - Puerto Rico,0,1
33450081653,352,Card,8748.42,UR12752760007,0,0,UR41791597828,0,0,31-05-2019 16:10,Mulberry - Arkansas,Eden Prairie - Minnesota,0,92
2502552692,433,Cash Withdrawal,673722.73,UR30527996528,673722.73,0,UR28008597946,0,673722.73,04-06-2019 01:26,Danville - Pennsylvania,Lumberton - Mississippi,1,1
38133749561,34,Cash Withdrawal,338765.47,UR17329099259,12678.18,0,UR26566873921,580232.3,1799759.8,18-05-2019 10:22,Strong City - Kansas,Burns - Kansas,0,56
25452164740,43,Card,20258.66,UR22120316998,42292,22033.34,UR31707376057,0,0,18-05-2019 19:59,West Liberty - West Virginia,NA,0,79
54792751578,177,Cash Withdrawal,253241.9,UR21097554335,0,0,UR16512695927,602605.84,855847.75,24-05-2019 09:13,Nappanee - Indiana,Bonnieville - Kentucky,0,71
43212761648,134,Cash Deposit,47200.7,UR21173624649,813201.49,860402.19,UR20194051436,578370.18,452413.03,22-05-2019 14:05,Mayaguez - Puerto Rico,Lewis - Kansas,0,2
7229274058,22,Card,16018.56,UR12531585583,0,0,UR32705268953,0,0,17-05-2019 22:27,Washington - North Carolina,San Juan - Puerto Rico,0,12
52930606689,400,Cash Withdrawal,64473.2,UR24215097556,20655,0,UR17540387355,3480231.25,3544704.45,02-06-2019 16:44,Hersey - Michigan,NA,0,43
15790640473,225,Cash Withdrawal,74447.11,UR42830469486,74447.11,0,UR25053946402,0,74447.11,26-05-2019 09:08,Danville - Pennsylvania,Lumberton - Mississippi,1,83
57900110114,373,Cash Withdrawal,191289.63,UR34479349309,0,0,UR18639425181,4743748.56,4935038.19,01-06-2019 13:07,Platina - California,Jasper - Arkansas,0,77
3508743865,15,Cash Withdrawal,3047.87,UR36284534934,7031,3983.13,UR29281344140,226650.23,229698.1,17-05-2019 15:37,Moberly - Missouri,Quincy - Massachusetts,0,56
14480417975,20,Money Order,565257.07,UR39480040662,104951.84,0,UR40046687849,922857.78,1488114.85,17-05-2019 20:36,Seattle - Washington,San Sebastian - Puerto Rico,0,59
39123036645,9,Cash Withdrawal,160425.59,UR38276328566,0,0,UR20703891479,265822,823269.98,17-05-2019 09:46,Blythe - Georgia,Leadwood - Missouri,0,7
23468238724,129,Cash Deposit,265376.59,UR12967700859,14864,280240.59,UR34946434045,0,0,22-05-2019 09:30,San Miguel - California,Callaway - Nebraska,0,13
21899997025,303,Card,18306.91,UR16184041398,306939.76,288632.85,UR27227103801,0,0,29-05-2019 15:56,Reading - Pennsylvania,Pittsburgh - Pennsylvania,0,30
22985194849,256,Card,1761.31,UR31866361436,24797,23035.69,UR22104883261,0,0,27-05-2019 16:24,Tylertown - Mississippi,Oyster Bay - New York,0,97
51722602221,256,Cash Deposit,18893.58,UR28470395335,5133352.93,5152246.51,UR29326960114,1844284.31,1825390.73,27-05-2019 16:32,Capeville - Virginia,Saddle River - New Jersey,0,51
38596628428,625,Money Order,2654302.46,UR17967084229,2654302.46,0,UR16819760794,0,0,12-06-2019 01:13,Danville - Pennsylvania,Lumberton - Mississippi,1,4
44289233704,434,Cash Withdrawal,2040374.55,UR32289917329,2040374.55,0,UR19403736238,50729.93,2091104.48,04-06-2019 02:21,Danville - Pennsylvania,Lumberton - Mississippi,1,12
10765070151,166,Card,15800.08,UR28394616579,128,0,UR20063323038,0,0,23-05-2019 22:18,Dalton - New York,Represa - California,0,41
63429777064,310,Money Order,330769.31,UR19230463797,214,0,UR37151968980,1277526.94,1608296.24,29-05-2019 22:07,Printer - Kentucky,Albion - Rhode Island,0,72
52740687435,38,Cash Deposit,254018.32,UR23825695375,87971,341989.32,UR26781033915,0,0,18-05-2019 14:14,Seaford - New York,Glenville - West Virginia,0,99
52335687068,353,Cash Withdrawal,216881.05,UR38957790476,23526,0,UR39933067344,0,216881.05,31-05-2019 17:08,Bennett - Iowa,NA,0,36
14052195384,232,Cash Withdrawal,237938.09,UR12910787899,22219,0,UR36944651458,8292.83,246230.92,26-05-2019 16:34,Newbury Park - California,Staunton - Virginia,0,92
36962260380,238,Card,10855.14,UR31306192029,108,0,UR26014536222,0,0,26-05-2019 22:48,NA,Granby - Massachusetts,0,76
25271723938,380,Card,1317.73,UR31718995006,0,0,UR36370072645,0,0,01-06-2019 20:17,Dayton - Minnesota,Captain Cook - Hawaii,0,3
16260510151,204,Card,17655.98,UR15846712391,142,0,UR37920827108,0,0,25-05-2019 12:23,NA,Hampden - Massachusetts,0,80
60288102265,202,Card,4098.24,UR38053297439,106384,102285.76,UR29683926997,0,0,25-05-2019 10:37,San Ysidro - California,Port Angeles - Washington,0,38
16823682580,39,Card,17352.17,UR19791987116,18567.48,1215.31,UR29451153234,0,0,18-05-2019 15:32,Pawlet - Vermont,Whitewater - California,0,91
52902929046,281,Cash Deposit,218912.11,UR28370029463,754154.76,973066.87,UR28517485099,4557448.77,4338536.66,28-05-2019 17:13,Waynesboro - Pennsylvania,North Waterford - Maine,0,91
38997199777,20,Money Order,560258.18,UR28860648468,133032.5,0,UR25509495086,2825919.89,3386178.07,17-05-2019 20:21,Jacobson - Minnesota,Chalkyitsik - Alaska,0,46
31759743870,13,Card,27585.45,UR13415869670,66355,38769.55,UR28100163116,0,0,17-05-2019 13:09,Annville - Pennsylvania,Strafford - Vermont,0,67
58750849844,163,Cash Withdrawal,426370.35,UR27649245006,112249,0,UR13878084066,0,426370.35,23-05-2019 19:55,West Manchester - Ohio,Enola - Pennsylvania,0,50
22301438503,162,Card,12159.86,UR20155091450,2258,0,UR17552732824,0,0,23-05-2019 18:18,Eads - Colorado,Hooksett - New Hampshire,0,70
13388192760,12,Cash Withdrawal,224175.86,UR13174352735,0,0,UR31024473888,607674.37,939670.67,17-05-2019 12:15,Campbellsville - Kentucky,Vesper - Wisconsin,0,24
4648533614,15,Cash Deposit,56684.63,UR19670255867,5035,61719.63,UR28924606947,268812.64,596524.02,17-05-2019 15:03,Woodbridge - Virginia,Green Cove Springs - Florida,0,77
20201863470,204,Cash Withdrawal,416531.91,UR29715595931,107231,0,UR26650392879,644727.82,1061259.72,25-05-2019 12:35,Harrington Park - New Jersey,NA,0,24
14527901884,168,Money Order,7513581.46,UR40781611095,7513581.46,0,UR36989392258,0,0,24-05-2019 00:27,Danville - Pennsylvania,Lumberton - Mississippi,1,53
62753723357,250,Card,27281.35,UR17779524689,23783,0,UR38535613790,0,0,27-05-2019 10:23,Crystal - North Dakota,Hampden Sydney - Virginia,0,10
35336748874,15,Cash Deposit,181927.99,UR38004064424,9495975.76,9677903.74,UR34624546742,3275234.72,3093306.73,17-05-2019 15:58,Mayaguez - Puerto Rico,Norfolk - Virginia,0,30
45607591700,169,Money Order,755612.09,UR35437912392,200281,0,UR21063091097,104083.56,859695.65,24-05-2019 01:47,Glenside - Pennsylvania,Rossville - Georgia,0,95
56311797682,543,Money Order,74436.56,UR32009303919,74436.56,0,UR41423491828,0,0,08-06-2019 15:20,Danville - Pennsylvania,Lumberton - Mississippi,1,53
14949690529,520,Card,22228.73,UR39161664863,10166,0,UR31727028916,0,0,07-06-2019 16:39,Wolverton - Minnesota,Chaffee - Missouri,0,1
3786904701,397,Card,25194.61,UR36845184639,0,0,UR32017272449,0,0,02-06-2019 13:56,Covington - Michigan,Harrisville - New York,0,58
18601149729,588,Card,23930.76,UR24399060941,0,0,UR23554136767,0,0,10-06-2019 12:32,Stehekin - Washington,Seattle - Washington,0,95
42383832316,161,Cash Withdrawal,192475.85,UR23136661729,0,0,UR38566452354,1950088.38,2142564.23,23-05-2019 17:41,Springdale - Pennsylvania,Chester - Idaho,0,60
29022862844,403,Money Order,2075371.42,UR34117635030,0,0,UR33844975033,7448599.08,9523970.51,02-06-2019 19:52,Whitesville - West Virginia,Louisville - Kentucky,0,60
5298630557,398,Cash Deposit,165884.92,UR32752017734,16854078.9,17019963.82,UR38965600362,864871.4,698986.48,02-06-2019 14:48,Tyringham - Massachusetts,Hamer - South Carolina,0,15
68667325189,202,Cash Withdrawal,55778.08,UR34343479297,535,0,UR42299082204,5398.15,61176.23,25-05-2019 10:04,Amma - West Virginia,Melville - New York,0,80
55370463161,181,Card,20308.87,UR21417941608,235828.79,215519.92,UR31685666470,0,0,24-05-2019 13:24,Wanamingo - Minnesota,Gilby - North Dakota,0,72
40343337154,400,Card,23674.01,UR37938789462,360172.49,336498.48,UR19298324036,0,0,02-06-2019 16:20,Davidsville - Pennsylvania,Dodson - Louisiana,0,39
59018954519,139,Cash Deposit,51312,UR30430204316,8256878.85,8308190.85,UR42337078567,208552.47,157240.47,22-05-2019 19:26,Binghamton - New York,Scipio Center - New York,0,53
68029558718,205,Cash Deposit,67775.01,UR16564938046,246034,313809.01,UR22259802509,0,0,25-05-2019 13:58,Homer Glen - Illinois,Alexandria - Virginia,0,56
18649132189,379,Card,7941.24,UR17105787315,30147,22205.76,UR38901560547,0,0,01-06-2019 19:02,Aguirre - Puerto Rico,Hobe Sound - Florida,0,60
45629568725,136,Cash Withdrawal,59842.7,UR41550242622,0,0,UR17459761772,415424.64,475267.34,22-05-2019 16:32,Hickory - North Carolina,Lebanon Junction - Kentucky,0,22
69662194873,394,Cash Withdrawal,95092.18,UR14139236234,10680,0,UR32217500176,25288.83,120381.01,02-06-2019 10:07,Brimhall - New Mexico,Hillsboro - Illinois,0,0
71053508539,130,Cash Deposit,111538.35,UR20103666032,199184,310722.35,UR18024949046,0,0,22-05-2019 10:20,Auburn - California,Avila Beach - California,0,26
7830026052,587,Money Order,1249721.72,UR42645013097,1249721.72,0,UR24892992829,0,0,10-06-2019 11:58,Danville - Pennsylvania,Lumberton - Mississippi,1,42
7181037737,183,Card,18511.97,UR24266669706,202072.5,183560.53,UR32093078304,NA,0,24-05-2019 15:16,Los Angeles - California,Utuado - Puerto Rico,0,39
10966363013,353,Money Order,5901020.13,UR27563360793,49595,0,UR33882541249,54758.32,5955778.44,31-05-2019 17:31,Chittenango - New York,Fountain - Michigan,0,75
1344652333,165,Card,3568.03,UR35804983843,35660,32091.97,UR13113940665,0,0,23-05-2019 21:30,New Zion - South Carolina,Deary - Idaho,0,39
23842090310,136,Card,12235.01,UR31501851950,183823.67,171588.66,UR25187485198,0,0,22-05-2019 16:17,Durango - Iowa,Sterlington - Louisiana,0,67
69542731590,59,Money Order,44733.5,UR35520958040,44733.5,0,UR29571892879,0,0,19-05-2019 11:11,Danville - Pennsylvania,Lumberton - Mississippi,1,18
44192105459,19,Cash Deposit,163307.36,UR32549163696,11028335.34,11191642.7,UR35682924634,5310362.21,5147054.86,17-05-2019 19:43,Malcolm - Nebraska,Cincinnati - Ohio,0,62
64681334555,561,Money Order,285294.11,UR24162438128,285294.11,0,UR15252792158,0,0,09-06-2019 09:24,Danville - Pennsylvania,Lumberton - Mississippi,1,56
49049527305,258,Card,16643.79,UR26227981643,0,0,UR27017277634,0,0,27-05-2019 18:40,Williamsburg - Ohio,Reynolds - Georgia,0,26
61556882741,178,Cash Deposit,123128.26,UR32099886779,2345,125473.26,UR22467677822,475888.21,352759.95,24-05-2019 10:35,Murdo - South Dakota,Tire Hill - Pennsylvania,0,89
10179563278,84,Money Order,4830219.15,UR28077328718,4830219.15,0,UR34523014017,0,0,20-05-2019 12:55,NA,Lumberton - Mississippi,1,9
49311962942,181,Cash Deposit,136991.68,UR28682178831,28316,165307.68,UR36947735698,503743.76,366752.07,24-05-2019 13:38,Arkabutla - Mississippi,Pennellville - New York,0,24
53386976907,258,Cash Withdrawal,40129.2,UR37835306040,49322,9192.8,UR14972368629,NA,40129.2,27-05-2019 18:28,East Norwich - New York,Seattle - Washington,0,80
58243484164,35,Card,17839.47,UR29886862178,48262,30422.53,UR42185500057,0,0,18-05-2019 11:57,Weatherford - Texas,Pilot Mountain - North Carolina,0,76
37325455661,377,Cash Withdrawal,28095.09,UR23388430280,0,0,UR33718391407,51806.77,79901.86,01-06-2019 17:24,Cincinnati - Ohio,Valley Center - Kansas,0,42
32229129653,400,Money Order,1806656.93,UR27854295743,0,0,UR42348373401,13107397.47,14914054.4,02-06-2019 16:02,Spring Valley - Wisconsin,Branchville - New Jersey,0,67
3520108272,164,Card,3592.65,UR21201729890,0,0,UR35276772976,NA,0,23-05-2019 20:08,Duquesne - Pennsylvania,NA,0,30
30480131597,95,Card,6556.93,UR22503815912,267,0,UR24542675681,0,0,20-05-2019 23:14,NA,Ellis Grove - Illinois,0,22
16101590099,402,Cash Withdrawal,152567.43,UR43049327574,0,0,UR41613750044,201129.79,353697.23,02-06-2019 18:58,Morris - Oklahoma,Aguadilla - Puerto Rico,0,13
37289703901,233,Cash Withdrawal,84171.98,UR27127865340,22955.24,0,UR15463634777,1414895.07,1499067.05,26-05-2019 17:14,Sunflower - Alabama,Leesburg - Florida,0,7
28465556187,236,Money Order,788652.7,UR20260476211,0,0,UR40411478415,2247115.55,3035768.25,26-05-2019 20:04,Soledad - California,Cluster Springs - Virginia,0,72
43370872166,249,Cash Withdrawal,136996.45,UR31065323945,0,0,UR23800417417,312007.5,449003.95,27-05-2019 09:59,Vanceburg - Kentucky,Buzzards Bay - Massachusetts,0,81
5205254014,145,Cash Withdrawal,34301.19,UR19708746644,34301.19,0,UR28307686540,0,34301.19,23-05-2019 01:39,Danville - Pennsylvania,Lumberton - Mississippi,1,90
46249010617,161,Cash Deposit,32283.27,UR40417035982,5692257.67,5724540.94,UR23182202348,4028731.5,3996448.23,23-05-2019 17:07,Nespelem - Washington,Millersville - Missouri,0,22
7268161439,178,Cash Deposit,113028.39,UR33618403880,1118,114146.39,UR15749571777,74075.18,0,24-05-2019 10:01,Silver Lake - New York,Cambridge - Illinois,0,84
55742861899,131,Cash Deposit,428339.13,UR33194340057,29897,458236.13,UR19283100200,631180.26,202841.13,22-05-2019 11:47,Waverly - Nebraska,Felton - Pennsylvania,0,73
63666425778,154,Cash Deposit,144526.91,UR23772432367,14104,158630.91,UR23074710341,687037.02,542510.11,23-05-2019 10:36,Okolona - Mississippi,Logan - West Virginia,0,55
4980313275,211,Cash Withdrawal,144285.91,UR12254968548,0,0,UR29001570675,151068.33,295354.24,25-05-2019 19:57,Bernville - Pennsylvania,Schenevus - New York,0,24
42279825037,235,Card,10404.75,UR29154500569,144,0,UR28058721945,0,0,26-05-2019 19:45,Pershing - Indiana,Bellville - Texas,0,11
